p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,label
0.50092316,0.82181525,-1.0427103e-06,0.40312296,0.7491771,-0.0386934,0.35070637,0.6301196,-0.05027351,0.33670852,0.526229,-0.06439311,0.31448025,0.44741294,-0.07187521,0.40808502,0.5506023,0.00953472,0.43534422,0.48490524,-0.044369403,0.45155144,0.56613946,-0.08069628,0.4568922,0.6397153,-0.093674056,0.47962227,0.5623693,0.01156792,0.50944245,0.5104867,-0.053252097,0.51181185,0.61589074,-0.07824366,0.5039779,0.6992296,-0.07670666,0.539767,0.5822239,0.0036824665,0.5675084,0.54119337,-0.060956154,0.5524014,0.6413751,-0.058572996,0.53305805,0.7201753,-0.034957487,0.5918429,0.6073846,-0.007013329,0.6176623,0.5704142,-0.04635385,0.5977006,0.63268965,-0.037189785,0.57472736,0.68586546,-0.016115695,0
0.4920134,0.7744117,-7.9839924e-07,0.40578353,0.7312574,-0.03238793,0.35082838,0.6288037,-0.038783163,0.33453718,0.5401717,-0.04688059,0.3121017,0.47486615,-0.049928654,0.39590687,0.5685614,0.0050060553,0.39835364,0.51058924,-0.042224955,0.4091049,0.57353,-0.07050835,0.41430524,0.6287412,-0.08013642,0.45635766,0.5681451,0.00568732,0.45518184,0.52344924,-0.050734725,0.45924565,0.6116331,-0.068310894,0.4625953,0.6717939,-0.0639762,0.5108843,0.5787617,-0.0027926648,0.5088436,0.54006124,-0.061060745,0.50200576,0.62924165,-0.05502937,0.4970503,0.69203496,-0.031540114,0.5621728,0.5955038,-0.013479091,0.5631567,0.55313635,-0.050234273,0.54879135,0.6078408,-0.041050322,0.5349725,0.65070564,-0.021831779,0
0.47510573,0.8123516,-8.807307e-07,0.38597915,0.78016615,-0.025218531,0.32296497,0.66590637,-0.027560258,0.31219172,0.5716867,-0.031016588,0.3075869,0.50559187,-0.030967541,0.37969506,0.59768593,-0.012910427,0.35844117,0.5427294,-0.06791074,0.3656653,0.60752344,-0.09494501,0.37602535,0.6707041,-0.10149922,0.44222066,0.5927156,-0.018991916,0.41420296,0.54756266,-0.08599429,0.42044464,0.6463554,-0.09958903,0.4355266,0.71567583,-0.087920874,0.5081304,0.6012923,-0.033125203,0.4751033,0.5659862,-0.102248274,0.47221655,0.6701596,-0.090624854,0.482013,0.73881465,-0.058944594,0.5756935,0.6171952,-0.048017275,0.5467075,0.5773843,-0.09612357,0.53200954,0.643335,-0.084969856,0.5316962,0.689657,-0.06056899,0
0.5008583,0.78190637,-4.6749207e-07,0.60038346,0.7198189,-0.020072361,0.6473928,0.6223501,-0.022011949,0.6645609,0.5402587,-0.029140785,0.68135035,0.47373,-0.032237418,0.5925623,0.56849235,0.021565855,0.6236722,0.50955755,-0.028267533,0.6190015,0.56962353,-0.059114534,0.60615516,0.6299017,-0.06742622,0.54255795,0.57188135,0.01728771,0.5710146,0.5149189,-0.046165727,0.56593955,0.59925157,-0.06875985,0.55576295,0.67054075,-0.06422947,0.48822767,0.58042395,0.003997578,0.51780766,0.53438073,-0.06044963,0.52303714,0.62583816,-0.057754897,0.51759595,0.69321537,-0.032612506,0.42628258,0.5911106,-0.0104331365,0.45972687,0.545948,-0.051323634,0.47651705,0.60714173,-0.041975394,0.47852466,0.6551817,-0.020023467,0
0.53101736,0.8587191,-1.8055067e-07,0.6404616,0.8007869,-0.02825653,0.69393164,0.66845834,-0.030643456,0.6995704,0.561013,-0.036439445,0.71907175,0.47521412,-0.036402762,0.61857015,0.59313637,0.009546732,0.6738157,0.53364456,-0.04863113,0.6678432,0.60662997,-0.07485852,0.65184927,0.66894525,-0.07776652,0.5570585,0.5917664,0.004382778,0.6210516,0.54628813,-0.06864954,0.6118041,0.66055477,-0.08701181,0.5963066,0.74009275,-0.07654328,0.4913754,0.60286677,-0.011109423,0.5582364,0.5714852,-0.09055314,0.5556172,0.6922383,-0.08277381,0.54046434,0.764918,-0.04986426,0.41884655,0.6206158,-0.027353842,0.47844386,0.5743059,-0.077981204,0.4949332,0.65004814,-0.066113696,0.49629837,0.7049847,-0.040193737,0
0.48192525,0.7789502,-5.1883814e-07,0.538572,0.73056626,-0.05226601,0.5771834,0.64368397,-0.066984,0.59157604,0.5505037,-0.07769545,0.6134734,0.48362455,-0.08098437,0.5736102,0.56544477,0.0075645503,0.5380045,0.5166166,-0.041286618,0.5170781,0.57219315,-0.068447456,0.52228636,0.612005,-0.075534284,0.5199356,0.56419563,0.022867102,0.47978032,0.5290123,-0.03494863,0.47417235,0.6094524,-0.051889215,0.48667023,0.65113944,-0.044382002,0.46979892,0.5729116,0.025810033,0.4323603,0.5465916,-0.03451972,0.4404932,0.6220205,-0.0336383,0.4604461,0.663409,-0.012271096,0.4242183,0.5884344,0.024791948,0.39504588,0.56930226,-0.016797952,0.4053952,0.6239085,-0.017562192,0.4274091,0.65530485,-0.0024000453,0
0.4863191,0.78790987,-7.037916e-07,0.5816472,0.7308459,-0.043407373,0.6415649,0.625443,-0.05530736,0.66088164,0.5287307,-0.06576106,0.6820166,0.4523958,-0.07199037,0.5840468,0.5569883,-0.0096535375,0.5744401,0.49888614,-0.06171488,0.55926293,0.56124425,-0.09050107,0.55481327,0.62158453,-0.09768445,0.52172154,0.56051564,-0.0023886003,0.5107138,0.51047754,-0.06491002,0.5050064,0.5998562,-0.08242072,0.5117527,0.6707254,-0.07514676,0.46384588,0.5729023,-0.005375691,0.4528293,0.53866935,-0.06953268,0.46349072,0.62943745,-0.06597312,0.4819004,0.69436073,-0.041377135,0.40849966,0.592692,-0.011227349,0.40459797,0.5480455,-0.052489493,0.41792288,0.6090248,-0.045197126,0.43415856,0.65543115,-0.025113037,0
0.50801444,0.8691886,-1.0277836e-06,0.40217477,0.79957205,-0.050846674,0.34466386,0.6696596,-0.064039454,0.3272996,0.55722797,-0.07718155,0.30533585,0.46981865,-0.08241949,0.40358114,0.5870492,0.005733334,0.43496653,0.5140928,-0.05079532,0.44810027,0.59872496,-0.08777295,0.45137835,0.67413294,-0.10033239,0.47663853,0.59383476,0.015561292,0.508963,0.53904015,-0.054192394,0.51273423,0.64997244,-0.08147471,0.50786424,0.732599,-0.08026738,0.5364772,0.6092024,0.014105747,0.567308,0.5672144,-0.056496795,0.5511705,0.67319965,-0.055783328,0.5327376,0.7544354,-0.031375226,0.5885827,0.627667,0.009105032,0.616045,0.5843004,-0.033978872,0.5992053,0.65189976,-0.025773717,0.57989824,0.7077659,-0.0041720006,0
0.52707136,0.7977915,-3.433599e-07,0.6058522,0.7256705,-0.008475696,0.6243371,0.6267556,-0.014061864,0.6194773,0.54937834,-0.026406778,0.6219434,0.48028228,-0.0328039,0.5592682,0.5500249,0.01922637,0.6246654,0.5211682,-0.029505026,0.6344394,0.5932127,-0.057138532,0.6212227,0.6477767,-0.06428149,0.5206156,0.5475749,0.007286425,0.6053909,0.54323864,-0.038504515,0.60659724,0.6339426,-0.04869241,0.58448786,0.6891251,-0.04355149,0.48305848,0.5575928,-0.012796259,0.5736924,0.55645037,-0.063714966,0.57406545,0.64695305,-0.053776417,0.5530736,0.70127845,-0.030729895,0.44636244,0.5791708,-0.033658758,0.5279465,0.56817263,-0.065725744,0.5380967,0.62761885,-0.053509727,0.52419084,0.66457975,-0.03379873,0
0.4924162,0.81431043,-5.80324e-07,0.58706546,0.7688671,-0.05502554,0.6584734,0.6430004,-0.06636988,0.68086094,0.53194785,-0.07277975,0.70966536,0.45365402,-0.071773745,0.5960393,0.55965143,-0.016700441,0.5925013,0.5077054,-0.079343505,0.5731963,0.59099114,-0.109631315,0.5637372,0.6555227,-0.115404144,0.5302996,0.56406665,-0.004601394,0.51881754,0.5161589,-0.0818478,0.51872575,0.6228975,-0.10072856,0.52310115,0.6963971,-0.08985953,0.46997577,0.5783165,-0.004693925,0.44940194,0.5451697,-0.08287024,0.46636984,0.6514256,-0.07734233,0.4813769,0.71753484,-0.04764288,0.40937722,0.59665006,-0.008019053,0.39661375,0.5621754,-0.06023138,0.41449904,0.63471144,-0.055551216,0.43440196,0.6794594,-0.034145124,0
0.48952124,0.8365605,-7.203549e-07,0.5947026,0.76970685,-0.05624602,0.6647266,0.64831966,-0.0696699,0.68651414,0.525482,-0.080544926,0.7141374,0.4355472,-0.08375408,0.6033585,0.5664562,-0.0024566448,0.5918001,0.48871508,-0.070087425,0.5687979,0.57051194,-0.10642336,0.5613233,0.64373004,-0.114863925,0.53084433,0.5727507,0.008777326,0.5046496,0.50432014,-0.07419489,0.5067472,0.6173389,-0.09848828,0.5198333,0.69807225,-0.09020417,0.465427,0.58797973,0.005966162,0.43649906,0.5426524,-0.0784714,0.4561748,0.6540439,-0.074768834,0.47951105,0.7263433,-0.044023503,0.4021143,0.60853624,-0.00047388882,0.38330904,0.55944496,-0.05268616,0.40040383,0.6323718,-0.04575811,0.4230209,0.6815586,-0.022579657,0
0.4826706,0.8277061,-5.31238e-07,0.5817077,0.7680205,-0.050812528,0.64530486,0.65280735,-0.06292356,0.6672952,0.5430921,-0.072387345,0.69000375,0.4581663,-0.07530601,0.58862716,0.57741284,-0.006622077,0.5781454,0.5226134,-0.06589063,0.5586318,0.5979512,-0.09639082,0.55491275,0.65997076,-0.103475206,0.52100563,0.58052313,0.0029476243,0.50711167,0.53228456,-0.07421159,0.5053348,0.6368909,-0.09656713,0.51295197,0.7120236,-0.08922318,0.45976657,0.5943762,0.00061817095,0.44283593,0.56105554,-0.07783225,0.45905977,0.66388017,-0.0754906,0.47644156,0.7334768,-0.048094463,0.4010344,0.61279386,-0.0048373584,0.38997477,0.56955063,-0.055637296,0.40496653,0.6353237,-0.05215238,0.42584515,0.6833544,-0.032589875,0
0.51256835,0.8093437,-5.6526665e-07,0.6179596,0.743759,-0.027360396,0.6722426,0.6301139,-0.029657425,0.68696713,0.5381531,-0.035439197,0.70421886,0.4666133,-0.03714455,0.6185091,0.5713459,0.015201205,0.63806427,0.5132556,-0.03817062,0.6269028,0.5823073,-0.06976911,0.61156654,0.64387304,-0.07796992,0.5598497,0.5727254,0.015048438,0.57759684,0.52001464,-0.05171007,0.5684247,0.61482626,-0.07195233,0.5599886,0.6898771,-0.06456093,0.49734807,0.5818914,0.0047461456,0.51296264,0.5385122,-0.06308725,0.51799726,0.6378962,-0.05782962,0.5193536,0.7097169,-0.029980857,0.4284995,0.5951504,-0.0073145097,0.45189154,0.55282235,-0.05136492,0.46840686,0.61891073,-0.042435393,0.47653794,0.6674626,-0.019741388,0
0.48749545,0.78380895,-6.041492e-07,0.5712785,0.73362505,-0.045829147,0.63259906,0.6268945,-0.05519264,0.64947295,0.5319924,-0.06088861,0.671305,0.4628363,-0.060405582,0.5848767,0.559524,-0.008087586,0.5739772,0.51162404,-0.059644897,0.55777365,0.5801223,-0.08549557,0.5527076,0.6370759,-0.0900585,0.5258276,0.5641604,0.0027854056,0.50901777,0.5209946,-0.061545864,0.5068132,0.6112005,-0.077423215,0.51413196,0.67528284,-0.06743766,0.47301215,0.5754729,0.0029451023,0.45063198,0.5493001,-0.062111486,0.46457654,0.6378048,-0.05894829,0.48300013,0.6939981,-0.033877183,0.42140692,0.5903395,0.00036111753,0.40792263,0.55783796,-0.040621374,0.42033377,0.6180673,-0.03568181,0.43757534,0.65636855,-0.01684254,0
0.5258724,0.8391205,-6.7959667e-07,0.6259491,0.76306784,-0.022199761,0.66911024,0.63770545,-0.026233973,0.67151684,0.5449881,-0.033427075,0.68546236,0.46644655,-0.03345239,0.58464473,0.5460524,0.0010117573,0.64772195,0.52743256,-0.048459105,0.64585847,0.6141322,-0.06825783,0.62650424,0.67914486,-0.06916211,0.5271919,0.5456824,-0.004336212,0.60840553,0.544924,-0.05979071,0.6025223,0.652695,-0.0666525,0.58152735,0.7213957,-0.05481126,0.47089013,0.5627412,-0.01842511,0.55565995,0.56691545,-0.082216844,0.5578351,0.67882514,-0.06948679,0.5441782,0.7455666,-0.0400277,0.4129498,0.5937443,-0.033694696,0.4943654,0.5807176,-0.075786546,0.51056355,0.6520342,-0.06351845,0.50243896,0.6934331,-0.04085425,0
0.49718353,0.7906661,-5.571781e-07,0.5867542,0.73702234,-0.05092688,0.64389676,0.6300865,-0.0624865,0.6608448,0.5287782,-0.07003306,0.68131524,0.45481932,-0.07046851,0.58641624,0.55532044,-0.006636194,0.57708967,0.51122093,-0.059555843,0.5624634,0.580195,-0.08640347,0.5567429,0.6362844,-0.091712855,0.52733225,0.56149435,0.007027501,0.5120594,0.5193308,-0.064888276,0.51262367,0.6130622,-0.085843325,0.5193215,0.67939806,-0.07798328,0.47321817,0.57502806,0.009595108,0.45489123,0.5480036,-0.061775338,0.47278684,0.6381578,-0.060706854,0.48906073,0.69937176,-0.03541201,0.42078096,0.5895504,0.00902306,0.412871,0.55700785,-0.035185356,0.4270143,0.61419845,-0.03228317,0.44322136,0.6517514,-0.014285047,0
0.5269221,0.8174136,-5.4026384e-07,0.6276644,0.7493707,-0.007670946,0.66242576,0.6333128,-0.00059527386,0.6624681,0.54373634,-0.0031302879,0.67057884,0.47029406,-0.00076876616,0.59139055,0.5740219,0.04645912,0.64140725,0.52521914,-0.0036681513,0.6447654,0.6048998,-0.030069878,0.6340748,0.67005754,-0.03395453,0.5422212,0.57649785,0.03370756,0.60957444,0.5323438,-0.027094092,0.60342115,0.63906425,-0.041644,0.5823612,0.7100866,-0.02998662,0.4872532,0.5864189,0.009977804,0.56149757,0.5555624,-0.057291947,0.56060266,0.66440165,-0.04921972,0.5395127,0.7296108,-0.018453285,0.4234858,0.6024393,-0.014043271,0.4929973,0.5639969,-0.054901667,0.50894725,0.6324386,-0.04175293,0.4987632,0.67874587,-0.016463825,0
0.4856489,0.7821319,-1.1048403e-06,0.39622965,0.7391439,-0.013054885,0.344145,0.63506675,-0.0118805235,0.3384316,0.5477628,-0.016792776,0.32044435,0.4820221,-0.017766338,0.40019676,0.5661944,0.02544234,0.3744275,0.5133579,-0.016705237,0.38065442,0.5774876,-0.043132484,0.39238292,0.6339606,-0.05135854,0.45545307,0.56788707,0.016639767,0.42320797,0.518899,-0.030823663,0.4280748,0.6059733,-0.046975624,0.44153863,0.6709111,-0.042276625,0.5113917,0.5770817,-9.890759e-05,0.47794783,0.53239906,-0.04861881,0.47299102,0.6245164,-0.04106994,0.4808542,0.6907123,-0.018224595,0.5720234,0.5917737,-0.018061904,0.5380606,0.54333925,-0.04673151,0.5186595,0.60010225,-0.034198713,0.51655346,0.64775026,-0.013783098,0
0.5138719,0.7669274,-8.426943e-07,0.42281005,0.71355593,-0.028543375,0.3718393,0.6193955,-0.03640106,0.3549309,0.53261775,-0.047000237,0.33287662,0.46737567,-0.052371483,0.41721654,0.55766743,0.013221932,0.42503586,0.5010925,-0.033835936,0.43402883,0.56232566,-0.06460499,0.43699512,0.6151262,-0.075848974,0.47480756,0.5620509,0.012101972,0.4809957,0.5117648,-0.042361256,0.48268422,0.5947431,-0.06279829,0.48130456,0.6551045,-0.061599474,0.52700925,0.57259357,0.002066085,0.53334385,0.5306619,-0.05242739,0.52333194,0.6136881,-0.048727285,0.51432353,0.67272884,-0.028263917,0.5770387,0.5883491,-0.010159842,0.5822104,0.546162,-0.04129127,0.56868064,0.598585,-0.03164118,0.5568658,0.6382926,-0.013581187,0
0.5277442,0.824905,-8.856038e-07,0.43146303,0.77273244,-0.052036643,0.3780236,0.63871473,-0.060142536,0.3612082,0.5289744,-0.06382262,0.3313045,0.4527289,-0.059066486,0.4258206,0.5659885,-0.004753461,0.4615477,0.49922425,-0.047046095,0.47760543,0.58874774,-0.06804681,0.4783764,0.65692437,-0.07133343,0.49629214,0.57190627,0.011573498,0.5303781,0.51477796,-0.044043805,0.53008497,0.6200344,-0.06048135,0.5172644,0.69185096,-0.053360786,0.54995775,0.58984697,0.018203357,0.58273053,0.54862654,-0.04404198,0.56703734,0.6473819,-0.04300878,0.54671836,0.7174153,-0.01986873,0.5936248,0.6085129,0.02277335,0.6225407,0.56409955,-0.016697332,0.6100636,0.6323563,-0.009383552,0.59219885,0.6846591,0.010797978,0
0.5283808,0.787732,-7.5055095e-07,0.6079537,0.72080207,-0.009520684,0.639049,0.61700827,-0.010784372,0.6428386,0.5370431,-0.017634587,0.6491932,0.47083822,-0.019625794,0.5725183,0.54237664,0.01048608,0.63316625,0.5223316,-0.03106499,0.6300437,0.5895782,-0.05189611,0.61444324,0.6479178,-0.055870328,0.5249946,0.5441435,0.0021669224,0.6012009,0.54189175,-0.042399567,0.59523565,0.6272787,-0.050320312,0.57898265,0.6871383,-0.042268485,0.48035067,0.55645996,-0.0131125245,0.5624894,0.5661561,-0.060333744,0.5567116,0.64967155,-0.05394467,0.53869694,0.7011703,-0.033458333,0.43500367,0.57735014,-0.029083643,0.50811994,0.5707447,-0.055674154,0.5186759,0.62413293,-0.045973495,0.5070554,0.6577664,-0.028641313,0
0.50659657,0.8305936,-5.2210106e-07,0.6075064,0.7711627,-0.038839757,0.6677599,0.6466774,-0.0441232,0.68099344,0.5440527,-0.048764102,0.7066331,0.4687788,-0.046846513,0.60527694,0.5776466,-0.001488029,0.6323271,0.5253656,-0.053389892,0.61908334,0.6057352,-0.07686164,0.60229516,0.6719627,-0.07945104,0.54222643,0.580608,0.0036326267,0.5664241,0.5331799,-0.062134147,0.56374216,0.6364948,-0.077104375,0.5592536,0.7120283,-0.06636056,0.47977257,0.5921497,-0.0016112518,0.49856097,0.5558561,-0.07218051,0.51076365,0.665164,-0.06546913,0.51645905,0.738413,-0.03652217,0.41365308,0.6091793,-0.008924578,0.43919814,0.5733085,-0.057372276,0.45597312,0.6461389,-0.05077136,0.46337762,0.6954085,-0.02945136,0
0.49297488,0.83147025,-6.3720506e-07,0.6041253,0.752085,-0.022967832,0.66052246,0.6368015,-0.023210403,0.67785996,0.53878987,-0.029630689,0.7000763,0.4647656,-0.032612927,0.5954909,0.57711375,0.025329951,0.6154484,0.51144326,-0.025950251,0.6060951,0.57685894,-0.058461748,0.59646755,0.6407841,-0.067617655,0.53287435,0.5855387,0.021640515,0.5495954,0.52402794,-0.04368622,0.5468244,0.6189701,-0.06691777,0.5459028,0.7001246,-0.062262964,0.46895093,0.59933275,0.007885468,0.486525,0.54881865,-0.059739243,0.4959845,0.6494276,-0.05774906,0.5012256,0.72749424,-0.031839527,0.39938116,0.61707795,-0.007428046,0.42367202,0.5620673,-0.048596814,0.44215837,0.6254378,-0.039032053,0.45021445,0.6801618,-0.016742833,0
